Jan 13, 2026 5:44:59 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Jan 13, 2026 5:44:59 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Jan 13, 2026 5:44:59 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /Users/rachelfong/Documents/GitHub/OSGi_TnG_CBSE/apache-karaf-4.4.9/lock
Jan 13, 2026 5:44:59 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Jan 13, 2026 5:44:59 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2026-01-13T17:44:59,911 | INFO  | CM Configuration Updater (Update: pid=org.ops4j.pax.logging) | EventAdminConfigurationNotifier  | 6 - org.ops4j.pax.logging.pax-logging-log4j2 - 2.3.0 | Sending Event Admin notification (configuration successful) to org/ops4j/pax/logging/Configuration
2026-01-13T17:45:00,232 | INFO  | activator-1-thread-2 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 | Adding features: eventadmin/[4.4.9,4.4.9],log/[4.4.9,4.4.9],ssh/[4.4.9,4.4.9],instance/[4.4.9,4.4.9],system/[4.4.9,4.4.9],bundle/[4.4.9,4.4.9],service/[4.4.9,4.4.9],jaas/[4.4.9,4.4.9],package/[4.4.9,4.4.9],wrap/[2.6.17,2.6.17],feature/[4.4.9,4.4.9],config/[4.4.9,4.4.9],deployer/[4.4.9,4.4.9],diagnostic/[4.4.9,4.4.9],framework/[4.4.9,4.4.9],shell/[4.4.9,4.4.9],kar/[4.4.9,4.4.9],management/[4.4.9,4.4.9]
2026-01-13T17:45:00,400 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 | Changes to perform:
2026-01-13T17:45:00,401 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |   Region: root
2026-01-13T17:45:00,401 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |     Bundles to install:
2026-01-13T17:45:00,401 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.bouncycastle/bcpkix-jdk18on/1.83
2026-01-13T17:45:00,401 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.bouncycastle/bcprov-jdk18on/1.83
2026-01-13T17:45:00,401 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.bouncycastle/bcutil-jdk18on/1.83
2026-01-13T17:45:00,401 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.api/1.1.5
2026-01-13T17:45:00,401 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.core/1.1.8
2026-01-13T17:45:00,401 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.whiteboard/1.2.0
2026-01-13T17:45:00,401 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.apache.aries/org.apache.aries.util/1.1.3
2026-01-13T17:45:00,401 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.core/4.4.9
2026-01-13T17:45:00,401 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.apache.karaf.config/org.apache.karaf.config.command/4.4.9
2026-01-13T17:45:00,401 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.features/4.4.9
2026-01-13T17:45:00,401 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.kar/4.4.9
2026-01-13T17:45:00,402 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.wrap/4.4.9
2026-01-13T17:45:00,402 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.core/4.4.9
2026-01-13T17:45:00,402 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.apache.karaf/org.apache.karaf.event/4.4.9
2026-01-13T17:45:00,402 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.apache.karaf.features/org.apache.karaf.features.command/4.4.9
2026-01-13T17:45:00,402 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.apache.karaf.instance/org.apache.karaf.instance.core/4.4.9
2026-01-13T17:45:00,402 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.command/4.4.9
2026-01-13T17:45:00,402 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.config/4.4.9
2026-01-13T17:45:00,402 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.modules/4.4.9
2026-01-13T17:45:00,402 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.apache.karaf.kar/org.apache.karaf.kar.core/4.4.9
2026-01-13T17:45:00,402 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.apache.karaf.log/org.apache.karaf.log.core/4.4.9
2026-01-13T17:45:00,402 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.apache.karaf.management/org.apache.karaf.management.server/4.4.9
2026-01-13T17:45:00,402 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.apache.karaf.package/org.apache.karaf.package.core/4.4.9
2026-01-13T17:45:00,402 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.apache.karaf.service/org.apache.karaf.service.core/4.4.9
